customer_id,customer_name,region,city,join_date,age,gender,total_lifetime_value
1,Customer_1,East,Bangalore,2022-10-05,19,Female,6636.55
2,Customer_2,West,Bangalore,2022-04-22,45,Male,8207.45
3,Customer_3,North,Delhi,2023-04-18,49,Female,13519.89
4,Customer_4,East,Bangalore,2023-11-19,36,Female,17941.83
5,Customer_5,East,Hyderabad,2023-01-27,33,Female,3984.82
6,Customer_6,West,Bangalore,2022-05-23,47,Male,10535.94
7,Customer_7,North,Hyderabad,2022-02-01,39,Male,2816.3
8,Customer_8,North,Bangalore,2022-06-30,31,Male,5949.38
9,Customer_9,East,Hyderabad,2023-08-02,18,Male,13876.64
10,Customer_10,South,Bangalore,2023-05-31,62,Female,2015.83
11,Customer_11,East,Bangalore,2022-09-26,19,Female,13415.99
12,Customer_12,East,Mumbai,2022-08-24,39,Male,18065.82
13,Customer_13,East,Hyderabad,2022-10-04,63,Female,19402.72
14,Customer_14,East,Hyderabad,2023-07-07,50,Male,4724.33
15,Customer_15,West,Hyderabad,2023-09-25,32,Male,15103.51
16,Customer_16,North,Chennai,2022-10-02,58,Female,18564.22
17,Customer_17,West,Bangalore,2022-03-27,39,Male,2281.7
18,Customer_18,West,Hyderabad,2022-03-04,57,Female,8573.46
19,Customer_19,West,Chennai,2023-02-08,56,Male,18428.49
20,Customer_20,East,Mumbai,2022-07-11,58,Male,4454.36
21,Customer_21,South,Hyderabad,2022-10-20,58,Male,18708.33
22,Customer_22,North,Hyderabad,2022-01-31,28,Female,10780.25
23,Customer_23,South,Chennai,2022-11-26,21,Male,2447.92
24,Customer_24,West,Bangalore,2023-10-20,24,Female,9272.61
25,Customer_25,West,Mumbai,2022-04-17,38,Male,6862.09
26,Customer_26,South,Hyderabad,2023-09-14,24,Male,6002.98
27,Customer_27,South,Bangalore,2022-10-03,21,Female,11058.77
28,Customer_28,South,Mumbai,2023-12-23,29,Female,9930.06
29,Customer_29,West,Delhi,2023-10-13,44,Female,9898.36
30,Customer_30,West,Delhi,2023-08-21,34,Female,2218.76
31,Customer_31,North,Mumbai,2023-07-10,37,Female,16145.2
32,Customer_32,North,Chennai,2022-03-23,48,Female,9888.07
33,Customer_33,West,Mumbai,2022-03-05,43,Male,16507.66
34,Customer_34,South,Mumbai,2023-07-21,48,Female,16579.6
35,Customer_35,South,Chennai,2023-08-09,52,Male,6684.14
36,Customer_36,North,Chennai,2022-05-09,26,Male,584.75
37,Customer_37,West,Bangalore,2022-09-13,22,Male,18269.29
38,Customer_38,North,Bangalore,2022-08-19,25,Female,15333.55
39,Customer_39,North,Chennai,2023-05-12,38,Male,2591.41
40,Customer_40,East,Delhi,2022-05-17,33,Male,14183.68
41,Customer_41,East,Delhi,2023-03-31,33,Male,890.45
42,Customer_42,East,Mumbai,2022-12-21,35,Female,1041.3
43,Customer_43,South,Hyderabad,2023-09-16,64,Male,10753.55
44,Customer_44,West,Mumbai,2023-04-30,45,Female,2372.73
45,Customer_45,West,Mumbai,2022-05-26,35,Male,19304.56
46,Customer_46,West,Hyderabad,2022-02-02,31,Female,17929.71
47,Customer_47,West,Chennai,2022-09-17,54,Female,13171.33
48,Customer_48,East,Delhi,2022-03-28,57,Male,1742.32
49,Customer_49,South,Mumbai,2022-09-22,33,Male,6834.29
50,Customer_50,South,Hyderabad,2023-06-26,38,Female,7748.6
51,Customer_51,East,Bangalore,2023-01-27,18,Female,9877.16
52,Customer_52,South,Mumbai,2022-08-20,28,Female,3793.61
53,Customer_53,East,Delhi,2023-08-11,28,Male,11761.48
54,Customer_54,West,Chennai,2023-03-23,19,Male,8997.53
55,Customer_55,East,Mumbai,2022-05-09,49,Male,18972.29
56,Customer_56,West,Mumbai,2022-09-28,36,Male,18755.81
57,Customer_57,West,Hyderabad,2022-03-30,22,Male,11526.74
58,Customer_58,North,Bangalore,2023-04-11,20,Female,13064.81
59,Customer_59,East,Bangalore,2022-06-19,45,Female,3187.03
60,Customer_60,North,Chennai,2022-05-08,43,Female,4854.8
61,Customer_61,East,Delhi,2022-06-23,40,Female,18063.95
62,Customer_62,East,Chennai,2022-01-26,47,Female,14133.74
63,Customer_63,North,Mumbai,2023-07-27,25,Female,4193.89
64,Customer_64,North,Mumbai,2023-05-26,53,Male,11619.1
65,Customer_65,East,Bangalore,2023-05-03,46,Female,18727.84
66,Customer_66,South,Delhi,2023-08-02,30,Male,7230.84
67,Customer_67,West,Hyderabad,2023-02-10,42,Male,4123.5
68,Customer_68,North,Delhi,2022-01-26,39,Male,18869.49
69,Customer_69,West,Mumbai,2022-03-24,63,Male,9494.67
70,Customer_70,South,Hyderabad,2022-12-30,50,Female,8636.22
71,Customer_71,South,Delhi,2023-01-02,54,Female,5717.56
72,Customer_72,South,Delhi,2022-03-01,24,Male,17885.91
73,Customer_73,North,Hyderabad,2023-07-05,40,Male,16989.53
74,Customer_74,South,Mumbai,2023-09-27,23,Female,8358.31
75,Customer_75,North,Delhi,2022-10-19,32,Female,1096.96
76,Customer_76,South,Hyderabad,2022-07-10,32,Female,9209.7
77,Customer_77,West,Mumbai,2023-04-06,57,Male,4026.73
78,Customer_78,West,Hyderabad,2023-10-26,51,Female,3283.31
79,Customer_79,East,Hyderabad,2022-08-21,31,Female,8165.33
80,Customer_80,West,Delhi,2023-04-19,46,Male,2432.0
81,Customer_81,East,Mumbai,2023-02-09,33,Male,19170.56
82,Customer_82,West,Delhi,2023-10-20,46,Female,1427.01
83,Customer_83,North,Chennai,2022-09-28,40,Male,8326.71
84,Customer_84,West,Chennai,2022-05-14,27,Male,3672.7
85,Customer_85,East,Mumbai,2022-06-20,64,Male,13931.82
86,Customer_86,East,Hyderabad,2023-02-19,21,Male,2036.82
87,Customer_87,South,Delhi,2022-01-28,29,Male,11162.71
88,Customer_88,North,Delhi,2022-05-16,59,Female,15575.48
89,Customer_89,West,Mumbai,2023-02-09,51,Female,19026.17
90,Customer_90,South,Mumbai,2023-05-20,21,Female,14121.29
91,Customer_91,West,Chennai,2022-08-29,37,Female,2440.09
92,Customer_92,West,Bangalore,2023-03-20,45,Female,2226.15
93,Customer_93,South,Mumbai,2023-03-10,45,Male,14766.16
94,Customer_94,South,Bangalore,2022-08-16,23,Female,4698.92
95,Customer_95,South,Mumbai,2023-05-24,31,Female,9221.17
96,Customer_96,South,Hyderabad,2022-10-30,52,Male,19544.11
97,Customer_97,South,Hyderabad,2022-02-03,64,Female,16488.18
98,Customer_98,West,Chennai,2022-01-02,18,Female,17008.57
99,Customer_99,South,Chennai,2022-12-28,36,Female,17285.01
100,Customer_100,North,Bangalore,2022-07-14,18,Female,12581.13
101,Customer_101,East,Mumbai,2023-08-29,30,Male,15006.71
102,Customer_102,South,Delhi,2022-11-04,25,Male,7499.74
103,Customer_103,South,Chennai,2023-10-09,35,Male,19969.7
104,Customer_104,West,Delhi,2023-12-17,52,Male,5952.63
105,Customer_105,South,Delhi,2022-09-07,40,Female,12005.14
106,Customer_106,South,Mumbai,2022-05-27,43,Female,6000.2
107,Customer_107,South,Bangalore,2022-12-12,58,Female,2685.39
108,Customer_108,West,Mumbai,2022-12-14,55,Female,11567.92
109,Customer_109,South,Chennai,2022-09-11,37,Female,7390.3
110,Customer_110,East,Delhi,2023-02-03,19,Female,11872.78
111,Customer_111,West,Mumbai,2022-11-30,43,Female,11394.23
112,Customer_112,East,Mumbai,2022-06-25,53,Male,11074.01
113,Customer_113,West,Mumbai,2022-05-05,42,Male,2904.37
114,Customer_114,South,Chennai,2023-02-02,47,Male,9083.53
115,Customer_115,East,Bangalore,2022-05-11,35,Male,16334.08
116,Customer_116,West,Mumbai,2023-07-16,24,Male,6645.3
117,Customer_117,North,Chennai,2023-08-28,44,Male,9154.71
118,Customer_118,South,Delhi,2023-02-11,28,Male,10129.72
119,Customer_119,West,Hyderabad,2022-11-30,54,Female,17323.26
120,Customer_120,North,Chennai,2022-01-20,25,Female,13284.2
121,Customer_121,West,Hyderabad,2022-07-24,28,Female,2453.95
122,Customer_122,North,Mumbai,2023-08-26,41,Female,17370.83
123,Customer_123,South,Mumbai,2022-12-21,47,Male,16725.29
124,Customer_124,East,Chennai,2022-06-22,47,Male,15196.1
125,Customer_125,North,Hyderabad,2022-07-08,32,Male,9588.13
126,Customer_126,West,Mumbai,2022-01-02,52,Male,15272.13
127,Customer_127,South,Delhi,2022-06-17,56,Female,9835.47
128,Customer_128,North,Bangalore,2023-01-03,41,Female,14864.16
129,Customer_129,West,Bangalore,2023-06-20,25,Female,17662.15
130,Customer_130,West,Mumbai,2023-08-03,60,Female,17865.56
131,Customer_131,West,Hyderabad,2023-01-05,59,Male,9364.28
132,Customer_132,North,Mumbai,2023-12-07,37,Male,17257.18
133,Customer_133,North,Hyderabad,2023-08-19,58,Female,2478.42
134,Customer_134,North,Delhi,2023-03-13,64,Female,2485.48
135,Customer_135,East,Hyderabad,2022-07-26,43,Female,11191.21
136,Customer_136,North,Mumbai,2022-02-18,41,Female,13210.97
137,Customer_137,North,Delhi,2023-06-28,39,Female,3483.38
138,Customer_138,North,Chennai,2023-11-13,22,Female,9707.51
139,Customer_139,East,Bangalore,2022-05-09,32,Male,2340.07
140,Customer_140,North,Mumbai,2023-03-23,53,Male,12240.94
141,Customer_141,West,Mumbai,2023-09-06,54,Female,17174.33
142,Customer_142,North,Mumbai,2022-02-04,46,Male,14883.96
143,Customer_143,West,Delhi,2022-07-18,32,Male,7876.69
144,Customer_144,West,Chennai,2022-03-18,44,Male,19878.98
145,Customer_145,West,Hyderabad,2023-01-04,25,Female,13427.23
146,Customer_146,East,Chennai,2023-06-10,46,Male,16397.34
147,Customer_147,East,Delhi,2022-12-15,36,Male,13559.1
148,Customer_148,East,Mumbai,2023-05-21,48,Male,19793.62
149,Customer_149,North,Bangalore,2023-10-05,26,Male,16516.52
150,Customer_150,West,Mumbai,2022-08-26,27,Male,10628.75
151,Customer_151,East,Hyderabad,2022-10-07,54,Male,7654.15
152,Customer_152,East,Bangalore,2023-07-31,27,Male,13802.02
153,Customer_153,North,Mumbai,2023-03-08,50,Female,12009.33
154,Customer_154,East,Bangalore,2022-05-18,42,Male,12772.34
155,Customer_155,North,Chennai,2022-09-26,21,Male,7188.73
156,Customer_156,South,Delhi,2022-07-20,22,Male,8860.2
157,Customer_157,East,Mumbai,2022-05-22,40,Female,11382.88
158,Customer_158,South,Hyderabad,2023-09-04,56,Male,16866.03
159,Customer_159,North,Chennai,2023-10-12,22,Female,15376.72
160,Customer_160,West,Mumbai,2023-11-11,25,Male,2813.79
161,Customer_161,East,Chennai,2023-09-03,34,Female,5288.31
162,Customer_162,North,Hyderabad,2022-12-21,18,Female,1019.83
163,Customer_163,West,Mumbai,2023-08-01,29,Female,655.23
164,Customer_164,West,Hyderabad,2022-11-25,52,Male,4875.32
165,Customer_165,South,Bangalore,2023-07-13,31,Female,16086.76
166,Customer_166,North,Hyderabad,2022-08-19,35,Male,18142.58
167,Customer_167,West,Bangalore,2022-11-04,27,Male,8139.48
168,Customer_168,East,Mumbai,2023-10-20,32,Male,11482.37
169,Customer_169,East,Bangalore,2023-12-20,59,Female,14268.03
170,Customer_170,South,Mumbai,2022-05-26,50,Male,19082.27
171,Customer_171,West,Mumbai,2022-06-01,36,Female,18302.18
172,Customer_172,North,Delhi,2022-05-20,51,Male,1615.25
173,Customer_173,East,Mumbai,2023-10-25,62,Male,5339.23
174,Customer_174,West,Bangalore,2022-01-21,42,Male,1458.32
175,Customer_175,West,Delhi,2022-09-11,33,Male,12522.58
176,Customer_176,South,Delhi,2022-03-05,25,Male,14354.62
177,Customer_177,East,Mumbai,2022-08-06,52,Male,6511.53
178,Customer_178,East,Hyderabad,2022-03-13,38,Male,17150.11
179,Customer_179,North,Hyderabad,2022-06-11,36,Female,9329.85
180,Customer_180,East,Delhi,2022-05-10,63,Male,19968.44
181,Customer_181,North,Mumbai,2023-08-04,28,Male,507.79
182,Customer_182,East,Hyderabad,2022-08-13,61,Female,2635.05
183,Customer_183,South,Mumbai,2023-08-03,28,Female,6384.97
184,Customer_184,East,Mumbai,2023-03-30,28,Female,997.4
185,Customer_185,North,Delhi,2023-01-19,39,Male,15755.62
186,Customer_186,North,Delhi,2022-04-17,38,Female,1529.05
187,Customer_187,South,Chennai,2023-09-13,44,Male,15105.1
188,Customer_188,East,Hyderabad,2022-04-13,35,Female,1525.08
189,Customer_189,East,Hyderabad,2022-05-21,59,Male,5428.18
190,Customer_190,South,Hyderabad,2023-07-31,57,Female,16904.9
191,Customer_191,East,Bangalore,2022-05-14,55,Male,19046.36
192,Customer_192,East,Mumbai,2022-07-18,47,Male,8583.26
193,Customer_193,North,Delhi,2023-05-25,62,Male,19413.81
194,Customer_194,East,Hyderabad,2023-10-29,64,Female,12724.18
195,Customer_195,East,Chennai,2022-03-20,62,Female,8608.78
196,Customer_196,South,Hyderabad,2023-04-27,50,Female,16154.63
197,Customer_197,South,Mumbai,2023-05-27,38,Female,6258.91
198,Customer_198,West,Mumbai,2022-09-07,19,Female,5683.03
199,Customer_199,North,Delhi,2023-08-22,30,Male,13302.68
200,Customer_200,East,Bangalore,2023-08-23,19,Female,8114.5
201,Customer_201,East,Delhi,2023-04-28,60,Male,3150.4
202,Customer_202,West,Hyderabad,2022-06-21,62,Male,1805.8
203,Customer_203,East,Chennai,2022-01-17,48,Male,15862.93
204,Customer_204,North,Delhi,2022-10-21,27,Male,13680.26
205,Customer_205,West,Bangalore,2023-01-29,40,Female,8530.07
206,Customer_206,North,Delhi,2023-05-13,39,Female,17976.44
207,Customer_207,West,Mumbai,2022-08-07,64,Female,8511.71
208,Customer_208,West,Hyderabad,2022-08-22,46,Female,14350.76
209,Customer_209,South,Hyderabad,2023-01-25,50,Female,18227.75
210,Customer_210,North,Hyderabad,2022-09-05,48,Female,16893.95
211,Customer_211,East,Hyderabad,2022-02-21,31,Male,10466.54
212,Customer_212,East,Hyderabad,2022-01-15,27,Female,13772.41
213,Customer_213,North,Hyderabad,2022-11-20,35,Male,8566.48
214,Customer_214,East,Chennai,2023-03-17,28,Male,13120.34
215,Customer_215,East,Bangalore,2022-04-22,56,Male,5522.27
216,Customer_216,North,Hyderabad,2023-11-27,64,Male,8977.47
217,Customer_217,West,Bangalore,2022-01-07,20,Female,4586.14
218,Customer_218,North,Hyderabad,2023-07-17,19,Female,1244.61
219,Customer_219,West,Delhi,2022-09-02,25,Male,11976.53
220,Customer_220,East,Hyderabad,2023-03-24,48,Female,17356.37
221,Customer_221,East,Mumbai,2022-12-31,25,Male,998.78
222,Customer_222,East,Chennai,2023-01-02,60,Male,4322.58
223,Customer_223,South,Delhi,2023-11-29,19,Male,9473.61
224,Customer_224,West,Delhi,2022-10-14,39,Male,13484.99
225,Customer_225,South,Mumbai,2023-08-27,22,Female,3838.97
226,Customer_226,South,Hyderabad,2022-04-16,24,Male,1605.55
227,Customer_227,North,Chennai,2022-01-13,37,Female,10621.45
228,Customer_228,South,Delhi,2022-05-26,45,Male,16464.84
229,Customer_229,North,Chennai,2023-04-23,30,Female,1187.08
230,Customer_230,North,Delhi,2023-09-23,19,Female,7312.7
231,Customer_231,South,Hyderabad,2023-12-16,49,Female,13438.54
232,Customer_232,West,Delhi,2023-10-15,43,Male,3049.47
233,Customer_233,West,Delhi,2022-04-25,20,Male,5100.96
234,Customer_234,West,Bangalore,2023-05-24,58,Female,10942.11
235,Customer_235,West,Hyderabad,2022-06-01,59,Female,19088.02
236,Customer_236,West,Mumbai,2022-02-26,30,Male,6103.18
237,Customer_237,South,Mumbai,2023-01-17,38,Female,10006.78
238,Customer_238,South,Hyderabad,2022-06-06,62,Female,8298.65
239,Customer_239,East,Mumbai,2022-05-13,54,Female,17999.24
240,Customer_240,West,Hyderabad,2022-06-12,40,Male,1901.85
241,Customer_241,South,Mumbai,2022-10-02,24,Male,11539.88
242,Customer_242,East,Bangalore,2023-11-26,34,Male,16999.33
243,Customer_243,West,Mumbai,2022-03-18,45,Male,19768.29
244,Customer_244,North,Delhi,2022-02-13,64,Male,14125.15
245,Customer_245,East,Hyderabad,2023-12-19,47,Male,7908.74
246,Customer_246,South,Chennai,2023-07-04,22,Female,8530.57
247,Customer_247,North,Chennai,2022-11-14,41,Female,7357.8
248,Customer_248,North,Hyderabad,2023-06-18,24,Female,12270.46
249,Customer_249,North,Bangalore,2023-08-08,51,Female,14918.41
250,Customer_250,East,Mumbai,2022-06-03,59,Female,16479.62
251,Customer_251,South,Bangalore,2022-08-25,50,Female,8623.57
252,Customer_252,North,Chennai,2023-06-01,44,Male,14475.82
253,Customer_253,West,Hyderabad,2022-08-09,31,Female,18366.34
254,Customer_254,North,Hyderabad,2022-11-06,36,Female,18456.08
255,Customer_255,North,Bangalore,2023-08-21,55,Male,14228.57
256,Customer_256,East,Bangalore,2022-06-26,29,Male,12919.59
257,Customer_257,East,Mumbai,2022-08-08,20,Female,10864.76
258,Customer_258,South,Delhi,2022-02-07,24,Female,4072.35
259,Customer_259,West,Delhi,2023-10-16,52,Female,2910.78
260,Customer_260,East,Mumbai,2023-03-07,42,Male,9971.36
261,Customer_261,North,Delhi,2022-07-22,32,Male,3609.16
262,Customer_262,South,Chennai,2023-03-24,36,Male,11751.5
263,Customer_263,North,Delhi,2023-05-10,36,Male,13091.2
264,Customer_264,North,Mumbai,2023-11-15,40,Female,10749.5
265,Customer_265,East,Delhi,2022-05-05,28,Female,1210.32
266,Customer_266,South,Hyderabad,2022-03-06,38,Female,1625.7
267,Customer_267,West,Bangalore,2022-09-01,51,Male,2710.15
268,Customer_268,West,Chennai,2023-06-11,56,Male,3496.09
269,Customer_269,East,Hyderabad,2022-08-14,24,Female,19802.71
270,Customer_270,East,Hyderabad,2023-04-10,59,Female,7217.65
271,Customer_271,South,Mumbai,2023-10-05,61,Female,6193.48
272,Customer_272,West,Bangalore,2023-12-08,44,Male,1519.2
273,Customer_273,West,Bangalore,2022-10-20,40,Female,12888.75
274,Customer_274,West,Chennai,2023-12-22,55,Male,13217.72
275,Customer_275,North,Mumbai,2023-01-16,37,Female,3921.25
276,Customer_276,West,Chennai,2023-09-17,44,Female,18425.21
277,Customer_277,North,Delhi,2022-06-15,25,Male,16109.62
278,Customer_278,South,Hyderabad,2023-12-04,54,Male,4991.23
279,Customer_279,North,Chennai,2022-08-06,20,Male,9974.07
280,Customer_280,South,Hyderabad,2022-10-02,19,Female,9438.62
281,Customer_281,West,Mumbai,2022-02-21,39,Male,7296.15
282,Customer_282,West,Delhi,2023-01-09,23,Female,16443.88
283,Customer_283,South,Mumbai,2023-11-01,56,Male,2630.66
284,Customer_284,East,Delhi,2022-12-29,57,Female,8598.63
285,Customer_285,South,Delhi,2023-07-21,53,Male,8846.61
286,Customer_286,East,Hyderabad,2022-01-14,61,Male,9640.15
287,Customer_287,North,Mumbai,2022-12-06,41,Female,17296.32
288,Customer_288,North,Mumbai,2023-08-25,29,Male,4754.25
289,Customer_289,North,Chennai,2023-06-23,34,Female,2507.0
290,Customer_290,West,Mumbai,2022-03-30,39,Female,12547.27
291,Customer_291,North,Chennai,2022-02-10,36,Female,3889.77
292,Customer_292,East,Bangalore,2022-10-31,26,Male,1961.18
293,Customer_293,North,Bangalore,2022-09-25,29,Female,8819.66
294,Customer_294,South,Bangalore,2022-05-18,49,Male,4783.11
295,Customer_295,South,Mumbai,2022-01-06,48,Male,7543.72
296,Customer_296,West,Mumbai,2022-08-30,34,Female,5564.37
297,Customer_297,South,Chennai,2022-06-11,40,Male,2306.41
298,Customer_298,East,Delhi,2023-11-23,27,Female,11426.77
299,Customer_299,North,Chennai,2023-06-02,47,Female,1026.86
300,Customer_300,West,Bangalore,2023-02-05,36,Female,19344.32
301,Customer_301,North,Chennai,2022-06-05,43,Female,7155.95
302,Customer_302,North,Delhi,2022-03-26,43,Female,14055.57
303,Customer_303,East,Mumbai,2023-12-13,28,Female,16302.08
304,Customer_304,South,Chennai,2022-01-10,37,Male,5942.54
305,Customer_305,South,Bangalore,2022-05-18,62,Male,15100.4
306,Customer_306,North,Bangalore,2023-12-14,21,Male,16732.21
307,Customer_307,West,Mumbai,2022-06-05,64,Male,5205.69
308,Customer_308,South,Chennai,2023-02-12,29,Male,19853.65
309,Customer_309,West,Delhi,2022-08-13,42,Female,903.43
310,Customer_310,South,Mumbai,2023-08-03,27,Male,4731.51
311,Customer_311,West,Chennai,2022-07-03,39,Female,15710.4
312,Customer_312,East,Hyderabad,2022-07-14,24,Male,4285.55
313,Customer_313,West,Bangalore,2023-07-08,41,Male,14116.07
314,Customer_314,East,Delhi,2023-01-31,19,Female,17182.84
315,Customer_315,East,Delhi,2023-10-25,49,Male,19204.68
316,Customer_316,West,Delhi,2023-08-19,38,Male,9747.83
317,Customer_317,East,Bangalore,2022-05-14,24,Male,19436.63
318,Customer_318,North,Chennai,2022-11-05,25,Female,8526.63
319,Customer_319,East,Mumbai,2023-06-26,55,Male,4753.5
320,Customer_320,South,Chennai,2022-01-09,38,Female,10521.48
321,Customer_321,West,Mumbai,2022-06-19,25,Male,13171.55
322,Customer_322,North,Delhi,2022-10-17,42,Female,9430.28
323,Customer_323,West,Chennai,2022-06-17,45,Male,11555.96
324,Customer_324,South,Delhi,2022-12-10,45,Female,8619.98
325,Customer_325,South,Hyderabad,2023-05-12,48,Female,10732.86
326,Customer_326,South,Delhi,2022-05-25,53,Male,19075.62
327,Customer_327,East,Delhi,2023-02-17,42,Male,10246.71
328,Customer_328,East,Mumbai,2023-08-11,58,Male,5437.0
329,Customer_329,West,Hyderabad,2023-11-20,54,Female,15295.56
330,Customer_330,West,Delhi,2023-04-02,55,Male,7082.9
331,Customer_331,North,Delhi,2023-12-02,29,Female,16416.04
332,Customer_332,North,Hyderabad,2022-10-29,54,Male,1608.42
333,Customer_333,West,Hyderabad,2022-02-15,54,Male,6977.47
334,Customer_334,East,Chennai,2022-01-17,48,Female,2340.02
335,Customer_335,South,Mumbai,2023-08-01,35,Male,2163.7
336,Customer_336,West,Hyderabad,2022-12-26,43,Male,13338.6
337,Customer_337,North,Hyderabad,2022-09-18,23,Male,8014.03
338,Customer_338,East,Bangalore,2022-05-03,26,Female,17493.84
339,Customer_339,West,Hyderabad,2022-08-19,28,Female,10569.9
340,Customer_340,West,Mumbai,2023-09-29,48,Female,6259.19
341,Customer_341,East,Delhi,2022-04-22,63,Female,14557.33
342,Customer_342,West,Delhi,2023-08-16,19,Male,12668.33
343,Customer_343,East,Delhi,2022-09-03,46,Male,16092.1
344,Customer_344,South,Delhi,2023-01-26,63,Male,13049.97
345,Customer_345,East,Bangalore,2023-01-27,59,Female,3756.76
346,Customer_346,East,Hyderabad,2022-11-24,22,Male,13571.05
347,Customer_347,East,Delhi,2022-08-03,40,Female,8135.21
348,Customer_348,West,Chennai,2023-01-02,53,Male,9531.29
349,Customer_349,West,Delhi,2022-03-23,24,Female,18470.51
350,Customer_350,East,Hyderabad,2022-03-17,30,Female,7519.3
351,Customer_351,West,Delhi,2023-06-11,59,Male,12433.2
352,Customer_352,North,Bangalore,2023-05-18,27,Female,7587.89
353,Customer_353,North,Mumbai,2023-04-24,53,Female,2347.19
354,Customer_354,West,Mumbai,2023-01-07,33,Male,9343.74
