date,month,quarter,year,week,weekday
2022-01-01,1,1,2022,52,5
2022-01-02,1,1,2022,52,6
2022-01-03,1,1,2022,1,0
2022-01-04,1,1,2022,1,1
2022-01-05,1,1,2022,1,2
2022-01-06,1,1,2022,1,3
2022-01-07,1,1,2022,1,4
2022-01-08,1,1,2022,1,5
2022-01-09,1,1,2022,1,6
2022-01-10,1,1,2022,2,0
2022-01-11,1,1,2022,2,1
2022-01-12,1,1,2022,2,2
2022-01-13,1,1,2022,2,3
2022-01-14,1,1,2022,2,4
2022-01-15,1,1,2022,2,5
2022-01-16,1,1,2022,2,6
2022-01-17,1,1,2022,3,0
2022-01-18,1,1,2022,3,1
2022-01-19,1,1,2022,3,2
2022-01-20,1,1,2022,3,3
2022-01-21,1,1,2022,3,4
2022-01-22,1,1,2022,3,5
2022-01-23,1,1,2022,3,6
2022-01-24,1,1,2022,4,0
2022-01-25,1,1,2022,4,1
2022-01-26,1,1,2022,4,2
2022-01-27,1,1,2022,4,3
2022-01-28,1,1,2022,4,4
2022-01-29,1,1,2022,4,5
2022-01-30,1,1,2022,4,6
2022-01-31,1,1,2022,5,0
2022-02-01,2,1,2022,5,1
2022-02-02,2,1,2022,5,2
2022-02-03,2,1,2022,5,3
2022-02-04,2,1,2022,5,4
2022-02-05,2,1,2022,5,5
2022-02-06,2,1,2022,5,6
2022-02-07,2,1,2022,6,0
2022-02-08,2,1,2022,6,1
2022-02-09,2,1,2022,6,2
2022-02-10,2,1,2022,6,3
2022-02-11,2,1,2022,6,4
2022-02-12,2,1,2022,6,5
2022-02-13,2,1,2022,6,6
2022-02-14,2,1,2022,7,0
2022-02-15,2,1,2022,7,1
2022-02-16,2,1,2022,7,2
2022-02-17,2,1,2022,7,3
2022-02-18,2,1,2022,7,4
2022-02-19,2,1,2022,7,5
2022-02-20,2,1,2022,7,6
2022-02-21,2,1,2022,8,0
2022-02-22,2,1,2022,8,1
2022-02-23,2,1,2022,8,2
2022-02-24,2,1,2022,8,3
2022-02-25,2,1,2022,8,4
2022-02-26,2,1,2022,8,5
2022-02-27,2,1,2022,8,6
2022-02-28,2,1,2022,9,0
2022-03-01,3,1,2022,9,1
2022-03-02,3,1,2022,9,2
2022-03-03,3,1,2022,9,3
2022-03-04,3,1,2022,9,4
2022-03-05,3,1,2022,9,5
2022-03-06,3,1,2022,9,6
2022-03-07,3,1,2022,10,0
2022-03-08,3,1,2022,10,1
2022-03-09,3,1,2022,10,2
2022-03-10,3,1,2022,10,3
2022-03-11,3,1,2022,10,4
2022-03-12,3,1,2022,10,5
2022-03-13,3,1,2022,10,6
2022-03-14,3,1,2022,11,0
2022-03-15,3,1,2022,11,1
2022-03-16,3,1,2022,11,2
2022-03-17,3,1,2022,11,3
2022-03-18,3,1,2022,11,4
2022-03-19,3,1,2022,11,5
2022-03-20,3,1,2022,11,6
2022-03-21,3,1,2022,12,0
2022-03-22,3,1,2022,12,1
2022-03-23,3,1,2022,12,2
2022-03-24,3,1,2022,12,3
2022-03-25,3,1,2022,12,4
2022-03-26,3,1,2022,12,5
2022-03-27,3,1,2022,12,6
2022-03-28,3,1,2022,13,0
2022-03-29,3,1,2022,13,1
2022-03-30,3,1,2022,13,2
2022-03-31,3,1,2022,13,3
2022-04-01,4,2,2022,13,4
2022-04-02,4,2,2022,13,5
2022-04-03,4,2,2022,13,6
2022-04-04,4,2,2022,14,0
2022-04-05,4,2,2022,14,1
2022-04-06,4,2,2022,14,2
2022-04-07,4,2,2022,14,3
2022-04-08,4,2,2022,14,4
2022-04-09,4,2,2022,14,5
2022-04-10,4,2,2022,14,6
2022-04-11,4,2,2022,15,0
2022-04-12,4,2,2022,15,1
2022-04-13,4,2,2022,15,2
2022-04-14,4,2,2022,15,3
2022-04-15,4,2,2022,15,4
2022-04-16,4,2,2022,15,5
2022-04-17,4,2,2022,15,6
2022-04-18,4,2,2022,16,0
2022-04-19,4,2,2022,16,1
2022-04-20,4,2,2022,16,2
2022-04-21,4,2,2022,16,3
2022-04-22,4,2,2022,16,4
2022-04-23,4,2,2022,16,5
2022-04-24,4,2,2022,16,6
2022-04-25,4,2,2022,17,0
2022-04-26,4,2,2022,17,1
2022-04-27,4,2,2022,17,2
2022-04-28,4,2,2022,17,3
2022-04-29,4,2,2022,17,4
2022-04-30,4,2,2022,17,5
2022-05-01,5,2,2022,17,6
2022-05-02,5,2,2022,18,0
2022-05-03,5,2,2022,18,1
2022-05-04,5,2,2022,18,2
2022-05-05,5,2,2022,18,3
2022-05-06,5,2,2022,18,4
2022-05-07,5,2,2022,18,5
2022-05-08,5,2,2022,18,6
2022-05-09,5,2,2022,19,0
2022-05-10,5,2,2022,19,1
2022-05-11,5,2,2022,19,2
2022-05-12,5,2,2022,19,3
2022-05-13,5,2,2022,19,4
2022-05-14,5,2,2022,19,5
2022-05-15,5,2,2022,19,6
2022-05-16,5,2,2022,20,0
2022-05-17,5,2,2022,20,1
2022-05-18,5,2,2022,20,2
2022-05-19,5,2,2022,20,3
2022-05-20,5,2,2022,20,4
2022-05-21,5,2,2022,20,5
2022-05-22,5,2,2022,20,6
2022-05-23,5,2,2022,21,0
2022-05-24,5,2,2022,21,1
2022-05-25,5,2,2022,21,2
2022-05-26,5,2,2022,21,3
2022-05-27,5,2,2022,21,4
2022-05-28,5,2,2022,21,5
2022-05-29,5,2,2022,21,6
2022-05-30,5,2,2022,22,0
2022-05-31,5,2,2022,22,1
2022-06-01,6,2,2022,22,2
2022-06-02,6,2,2022,22,3
2022-06-03,6,2,2022,22,4
2022-06-04,6,2,2022,22,5
2022-06-05,6,2,2022,22,6
2022-06-06,6,2,2022,23,0
2022-06-07,6,2,2022,23,1
2022-06-08,6,2,2022,23,2
2022-06-09,6,2,2022,23,3
2022-06-10,6,2,2022,23,4
2022-06-11,6,2,2022,23,5
2022-06-12,6,2,2022,23,6
2022-06-13,6,2,2022,24,0
2022-06-14,6,2,2022,24,1
2022-06-15,6,2,2022,24,2
2022-06-16,6,2,2022,24,3
2022-06-17,6,2,2022,24,4
2022-06-18,6,2,2022,24,5
2022-06-19,6,2,2022,24,6
2022-06-20,6,2,2022,25,0
2022-06-21,6,2,2022,25,1
2022-06-22,6,2,2022,25,2
2022-06-23,6,2,2022,25,3
2022-06-24,6,2,2022,25,4
2022-06-25,6,2,2022,25,5
2022-06-26,6,2,2022,25,6
2022-06-27,6,2,2022,26,0
2022-06-28,6,2,2022,26,1
2022-06-29,6,2,2022,26,2
2022-06-30,6,2,2022,26,3
2022-07-01,7,3,2022,26,4
2022-07-02,7,3,2022,26,5
2022-07-03,7,3,2022,26,6
2022-07-04,7,3,2022,27,0
2022-07-05,7,3,2022,27,1
2022-07-06,7,3,2022,27,2
2022-07-07,7,3,2022,27,3
2022-07-08,7,3,2022,27,4
2022-07-09,7,3,2022,27,5
2022-07-10,7,3,2022,27,6
2022-07-11,7,3,2022,28,0
2022-07-12,7,3,2022,28,1
2022-07-13,7,3,2022,28,2
2022-07-14,7,3,2022,28,3
2022-07-15,7,3,2022,28,4
