customer_id,feedback_text,sentiment_score,tone_label
1581,Great product!,4,Positive
5495,Product quality average,5,Positive
4592,Terrible experience,1,Negative
1079,Poor packaging,5,Positive
8136,Poor packaging,1,Negative
2822,Poor packaging,1,Negative
1263,Not satisfied,5,Positive
9560,Poor packaging,5,Positive
7932,Terrible experience,1,Negative
8159,Fast delivery,3,Neutral
424,Excellent service,4,Positive
9149,Product quality average,1,Negative
4811,Excellent service,3,Neutral
9308,Loved it!,4,Positive
678,Not satisfied,4,Positive
8468,Poor packaging,3,Neutral
8508,Terrible experience,3,Neutral
463,Great product!,4,Positive
5838,Poor packaging,1,Negative
546,Poor packaging,3,Neutral
8643,Terrible experience,3,Neutral
6618,Excellent service,2,Negative
3935,Fast delivery,2,Negative
1649,Great product!,5,Positive
2595,Loved it!,5,Positive
933,Not satisfied,5,Positive
6111,Terrible experience,5,Positive
7604,Not satisfied,4,Positive
9251,Not satisfied,2,Negative
2821,Not satisfied,2,Negative
8377,Not satisfied,3,Neutral
1649,Poor packaging,3,Neutral
7126,Terrible experience,4,Positive
6534,Not satisfied,2,Negative
1782,Poor packaging,1,Negative
1683,Poor packaging,5,Positive
1119,Fast delivery,1,Negative
4020,Excellent service,2,Negative
5196,Poor packaging,1,Negative
2865,Poor packaging,1,Negative
4965,Excellent service,4,Positive
6994,Fast delivery,3,Neutral
4948,Poor packaging,2,Negative
8874,Product quality average,2,Negative
710,Terrible experience,5,Positive
8732,Not satisfied,2,Negative
214,Not satisfied,4,Positive
5040,Loved it!,1,Negative
60,Great product!,5,Positive
2580,Not satisfied,3,Neutral
2965,Fast delivery,1,Negative
9727,Not satisfied,4,Positive
9415,Product quality average,1,Negative
339,Fast delivery,4,Positive
610,Not satisfied,5,Positive
5606,Poor packaging,5,Positive
142,Terrible experience,4,Positive
595,Terrible experience,3,Neutral
6014,Product quality average,1,Negative
9312,Loved it!,3,Neutral
2323,Fast delivery,4,Positive
3025,Great product!,4,Positive
8188,Fast delivery,5,Positive
5145,Product quality average,3,Neutral
3541,Fast delivery,2,Negative
1851,Product quality average,1,Negative
9572,Great product!,1,Negative
8884,Poor packaging,1,Negative
3976,Excellent service,3,Neutral
2002,Not satisfied,5,Positive
9894,Loved it!,1,Negative
972,Not satisfied,3,Neutral
2935,Terrible experience,2,Negative
9548,Terrible experience,4,Positive
59,Great product!,3,Neutral
3816,Loved it!,1,Negative
8127,Loved it!,4,Positive
5386,Excellent service,5,Positive
5720,Excellent service,1,Negative
738,Excellent service,2,Negative
3880,Fast delivery,4,Positive
6626,Loved it!,1,Negative
5702,Poor packaging,2,Negative
5846,Excellent service,5,Positive
8662,Product quality average,3,Neutral
1983,Fast delivery,2,Negative
9700,Great product!,4,Positive
2167,Poor packaging,1,Negative
3483,Poor packaging,1,Negative
8999,Product quality average,4,Positive
8993,Not satisfied,4,Positive
5353,Not satisfied,5,Positive
3952,Poor packaging,4,Positive
333,Product quality average,4,Positive
8059,Loved it!,3,Neutral
6352,Terrible experience,1,Negative
1355,Loved it!,3,Neutral
9392,Poor packaging,4,Positive
6503,Great product!,5,Positive
6241,Great product!,1,Negative
2710,Terrible experience,1,Negative
3576,Product quality average,5,Positive
8717,Great product!,1,Negative
9153,Great product!,2,Negative
3328,Product quality average,3,Neutral
4164,Great product!,1,Negative
2393,Not satisfied,5,Positive
5290,Terrible experience,2,Negative
283,Loved it!,5,Positive
1481,Loved it!,1,Negative
8691,Fast delivery,1,Negative
1290,Great product!,2,Negative
2887,Fast delivery,3,Neutral
7613,Great product!,1,Negative
7133,Loved it!,1,Negative
186,Terrible experience,1,Negative
4604,Loved it!,5,Positive
1097,Terrible experience,5,Positive
8982,Loved it!,3,Neutral
4494,Not satisfied,2,Negative
8075,Poor packaging,4,Positive
1545,Not satisfied,5,Positive
4394,Terrible experience,4,Positive
211,Excellent service,1,Negative
706,Poor packaging,3,Neutral
9468,Fast delivery,2,Negative
8362,Excellent service,3,Neutral
7306,Loved it!,5,Positive
1358,Terrible experience,4,Positive
4470,Not satisfied,5,Positive
7960,Product quality average,5,Positive
7918,Not satisfied,5,Positive
5758,Excellent service,1,Negative
5694,Loved it!,2,Negative
2692,Not satisfied,1,Negative
6420,Great product!,1,Negative
6541,Poor packaging,5,Positive
5268,Fast delivery,3,Neutral
4415,Excellent service,2,Negative
6310,Terrible experience,2,Negative
811,Loved it!,2,Negative
27,Terrible experience,4,Positive
5726,Excellent service,4,Positive
3795,Product quality average,4,Positive
8091,Excellent service,5,Positive
763,Loved it!,5,Positive
1123,Not satisfied,5,Positive
7278,Excellent service,5,Positive
8744,Terrible experience,3,Neutral
4467,Terrible experience,5,Positive
4021,Product quality average,1,Negative
102,Terrible experience,4,Positive
7234,Fast delivery,1,Negative
6632,Great product!,2,Negative
4417,Fast delivery,4,Positive
7215,Great product!,4,Positive
3082,Excellent service,4,Positive
2848,Fast delivery,5,Positive
5234,Great product!,5,Positive
2530,Product quality average,5,Positive
4749,Great product!,4,Positive
6183,Terrible experience,3,Neutral
8601,Terrible experience,4,Positive
5091,Loved it!,3,Neutral
7032,Great product!,3,Neutral
2492,Loved it!,4,Positive
5552,Loved it!,2,Negative
477,Excellent service,4,Positive
5263,Excellent service,4,Positive
2102,Fast delivery,1,Negative
1206,Poor packaging,2,Negative
7542,Terrible experience,4,Positive
3345,Fast delivery,2,Negative
6314,Product quality average,2,Negative
