order_id,customer_id,product_id,quantity,amount,order_date,channel,region
1,533,172,4,1179.03,2022-08-17,App,West
2,5128,300,1,2558.53,2022-02-22,App,North
3,888,134,2,2383.59,2023-02-14,Web,East
4,3273,703,4,4773.55,2022-10-21,Web,North
5,2926,657,3,2286.77,2023-11-06,In-store,South
6,2433,888,4,2161.04,2022-09-10,In-store,East
7,3598,626,2,4120.82,2022-10-02,In-store,West
8,8012,603,3,1539.5,2022-11-10,App,South
9,5526,297,3,4015.47,2022-02-18,Web,South
10,4619,491,3,1302.7,2023-03-08,Web,East
11,9027,467,1,2085.45,2022-11-25,Web,East
12,9570,736,3,4574.94,2022-01-24,In-store,South
13,3481,491,3,2416.87,2023-07-28,App,West
14,4607,151,3,4661.57,2022-10-27,In-store,North
15,8404,38,1,1952.27,2023-05-23,App,South
16,9119,169,4,528.9,2022-04-24,In-store,East
17,2673,31,3,3838.52,2023-04-19,Web,East
18,4033,400,3,1316.09,2023-04-25,Web,West
19,8537,635,2,3767.99,2023-10-21,Web,East
20,5994,899,3,2923.27,2023-10-01,App,West
21,6004,80,1,4875.55,2022-05-29,Web,East
22,9894,883,4,2186.77,2022-03-09,App,West
23,7426,656,2,4484.44,2022-06-25,App,North
24,3847,580,1,3646.46,2022-07-25,Web,South
25,4017,69,2,811.49,2022-06-16,In-store,South
26,296,182,3,3589.94,2023-01-09,App,North
27,7725,220,4,3224.1,2023-10-03,In-store,West
28,7385,855,4,4891.63,2023-04-28,App,East
29,4484,810,3,2339.76,2022-08-02,In-store,South
30,1497,192,3,2821.72,2023-06-13,App,South
31,1568,126,3,3576.87,2022-09-09,Web,South
32,6034,531,4,3079.53,2022-03-02,Web,South
33,5451,601,1,3115.7,2022-06-14,App,East
34,1976,595,3,2313.69,2023-07-28,In-store,East
35,4133,318,2,3878.1,2022-03-16,Web,East
36,7399,259,3,146.6,2023-05-12,In-store,East
37,4279,776,4,871.15,2022-02-16,In-store,North
38,7926,730,1,4274.15,2023-05-25,App,West
39,4166,415,1,4661.76,2022-12-28,In-store,West
40,8429,787,3,3719.6,2023-03-14,In-store,West
41,464,631,4,870.56,2023-01-20,App,East
42,5238,721,3,2940.65,2023-04-26,Web,East
43,930,321,4,1470.95,2022-08-14,App,East
44,1887,821,3,2852.92,2022-09-20,Web,East
45,7674,781,1,1103.98,2022-11-17,Web,West
46,7672,571,1,772.41,2022-10-03,Web,East
47,7919,185,2,1043.74,2023-03-16,In-store,East
48,3912,939,3,4475.26,2023-09-27,In-store,North
49,6545,12,1,384.14,2022-11-21,In-store,North
50,4413,736,4,270.91,2023-03-16,App,South
51,718,88,3,1034.06,2022-07-06,App,South
52,6366,98,4,2878.84,2022-04-02,In-store,South
53,658,408,3,536.86,2022-10-01,App,North
54,1213,938,4,2645.09,2022-07-28,In-store,South
55,6436,393,2,3628.08,2022-03-07,In-store,South
56,758,688,2,2746.24,2022-02-02,Web,North
57,6903,68,1,3857.83,2022-09-18,In-store,North
58,5537,944,2,2646.9,2023-05-04,App,South
59,3479,665,1,545.2,2022-01-31,In-store,West
60,5573,868,3,3379.71,2022-11-26,In-store,East
61,9423,664,1,1704.68,2023-04-06,In-store,South
62,6070,791,2,2647.88,2023-08-03,In-store,South
63,5480,359,1,4974.54,2022-03-31,App,East
64,5126,318,3,1445.97,2022-01-04,Web,West
65,5094,79,3,4123.52,2022-10-04,App,South
66,5593,345,3,2865.04,2023-09-20,Web,South
67,83,701,1,4586.84,2023-10-27,In-store,West
68,7967,120,4,4562.1,2022-03-22,App,North
69,3763,875,3,3600.43,2023-09-07,Web,West
70,1401,266,2,1592.13,2023-11-15,App,West
71,659,10,4,4760.48,2022-05-08,App,South
72,6246,582,1,4193.54,2022-04-28,Web,North
73,5151,244,1,4836.59,2023-10-17,App,West
74,1338,325,3,4853.05,2023-06-29,App,South
75,7141,316,2,2257.08,2023-09-13,Web,East
76,8886,861,1,579.45,2023-08-01,In-store,North
77,4328,468,4,2578.49,2022-06-07,Web,West
78,9337,833,1,695.47,2022-07-17,Web,West
79,3257,470,1,2503.32,2023-10-18,App,North
80,864,825,3,2789.8,2023-08-20,App,West
81,1250,623,4,2927.05,2022-12-28,App,West
82,9411,215,4,144.36,2023-09-27,Web,West
83,4905,474,2,4296.16,2022-04-17,In-store,North
84,9242,526,1,2345.92,2022-07-14,Web,East
85,7362,804,4,3567.59,2022-10-22,App,East
86,2903,255,4,638.49,2022-11-21,App,East
87,4807,318,2,3750.85,2022-01-10,In-store,East
88,5384,256,3,2262.68,2022-12-14,Web,East
89,9687,844,3,3729.63,2023-08-12,Web,East
90,2337,527,2,4635.59,2022-09-07,In-store,East
91,368,817,4,3681.41,2022-05-31,In-store,East
92,412,848,2,3112.88,2023-08-01,In-store,West
93,3094,911,3,3562.14,2022-02-22,In-store,West
94,8035,968,2,3726.77,2022-09-09,In-store,West
95,354,172,2,2559.82,2023-04-24,App,East
96,9758,846,1,4195.52,2022-05-24,In-store,East
97,5679,642,2,2817.28,2022-03-06,In-store,South
98,1339,375,4,3200.22,2023-12-24,In-store,South
99,4878,460,3,2174.99,2022-04-23,App,West
