customer_id,kmeans_cluster,segment
1,3,At-risk
2,5,Low-engagement
3,1,High-value
4,5,Low-engagement
5,2,Occasional
6,2,Occasional
7,5,Low-engagement
8,2,Occasional
9,4,New
10,2,Occasional
11,2,Occasional
12,2,Occasional
13,4,New
14,3,At-risk
15,1,High-value
16,4,New
17,4,New
18,1,High-value
19,2,Occasional
20,5,Low-engagement
21,1,High-value
22,2,Occasional
23,2,Occasional
24,4,New
25,4,New
26,2,Occasional
27,2,Occasional
28,2,Occasional
29,1,High-value
30,2,Occasional
31,1,High-value
32,5,Low-engagement
33,5,Low-engagement
34,3,At-risk
35,4,New
36,3,At-risk
37,2,Occasional
38,1,High-value
39,3,At-risk
40,3,At-risk
41,4,New
42,2,Occasional
43,2,Occasional
44,2,Occasional
45,4,New
46,1,High-value
47,4,New
48,4,New
49,4,New
50,1,High-value
51,3,At-risk
52,4,New
53,2,Occasional
54,1,High-value
55,1,High-value
56,4,New
57,4,New
58,4,New
59,1,High-value
60,4,New
61,3,At-risk
62,1,High-value
63,3,At-risk
64,3,At-risk
65,4,New
66,3,At-risk
67,4,New
68,4,New
69,4,New
70,1,High-value
71,2,Occasional
72,5,Low-engagement
73,3,At-risk
74,1,High-value
75,3,At-risk
76,1,High-value
77,5,Low-engagement
78,1,High-value
79,4,New
80,1,High-value
81,5,Low-engagement
82,2,Occasional
83,2,Occasional
84,1,High-value
85,2,Occasional
86,5,Low-engagement
87,1,High-value
88,1,High-value
89,4,New
90,2,Occasional
91,5,Low-engagement
92,5,Low-engagement
93,3,At-risk
94,1,High-value
95,1,High-value
96,2,Occasional
97,5,Low-engagement
98,1,High-value
99,3,At-risk
100,3,At-risk
101,3,At-risk
102,3,At-risk
103,4,New
104,5,Low-engagement
105,5,Low-engagement
106,1,High-value
107,4,New
108,2,Occasional
109,3,At-risk
110,1,High-value
111,5,Low-engagement
112,3,At-risk
113,4,New
114,2,Occasional
115,4,New
116,2,Occasional
117,2,Occasional
118,4,New
119,1,High-value
120,2,Occasional
121,2,Occasional
122,2,Occasional
123,2,Occasional
124,5,Low-engagement
125,4,New
126,4,New
127,1,High-value
128,1,High-value
129,3,At-risk
130,5,Low-engagement
131,5,Low-engagement
132,4,New
133,1,High-value
134,4,New
135,3,At-risk
136,5,Low-engagement
137,5,Low-engagement
138,1,High-value
139,1,High-value
140,4,New
141,2,Occasional
142,2,Occasional
143,5,Low-engagement
144,1,High-value
145,2,Occasional
146,1,High-value
147,4,New
148,5,Low-engagement
149,4,New
150,3,At-risk
151,3,At-risk
152,3,At-risk
153,5,Low-engagement
154,2,Occasional
155,3,At-risk
156,4,New
157,3,At-risk
158,5,Low-engagement
159,2,Occasional
160,3,At-risk
161,5,Low-engagement
162,3,At-risk
163,5,Low-engagement
164,3,At-risk
165,1,High-value
166,5,Low-engagement
167,4,New
168,5,Low-engagement
169,1,High-value
170,4,New
171,2,Occasional
172,4,New
173,3,At-risk
174,5,Low-engagement
175,5,Low-engagement
176,1,High-value
177,4,New
178,4,New
179,3,At-risk
180,1,High-value
181,2,Occasional
182,4,New
183,3,At-risk
184,5,Low-engagement
185,1,High-value
186,1,High-value
187,3,At-risk
188,5,Low-engagement
189,5,Low-engagement
190,1,High-value
191,1,High-value
192,2,Occasional
193,1,High-value
194,4,New
195,5,Low-engagement
196,2,Occasional
197,3,At-risk
198,2,Occasional
199,3,At-risk
200,5,Low-engagement
201,1,High-value
202,2,Occasional
203,4,New
204,4,New
205,5,Low-engagement
206,4,New
207,5,Low-engagement
208,2,Occasional
209,4,New
210,3,At-risk
211,3,At-risk
212,2,Occasional
213,3,At-risk
214,4,New
215,4,New
216,4,New
217,2,Occasional
218,2,Occasional
219,3,At-risk
220,3,At-risk
221,4,New
222,2,Occasional
223,5,Low-engagement
224,1,High-value
225,3,At-risk
226,1,High-value
227,5,Low-engagement
228,3,At-risk
229,1,High-value
230,3,At-risk
231,2,Occasional
232,3,At-risk
233,3,At-risk
234,3,At-risk
235,2,Occasional
236,1,High-value
237,3,At-risk
238,1,High-value
239,3,At-risk
240,4,New
241,1,High-value
242,4,New
243,2,Occasional
244,2,Occasional
245,3,At-risk
246,2,Occasional
247,2,Occasional
248,3,At-risk
249,4,New
250,4,New
251,3,At-risk
252,4,New
253,1,High-value
254,5,Low-engagement
255,3,At-risk
256,3,At-risk
257,2,Occasional
258,2,Occasional
259,3,At-risk
260,2,Occasional
261,1,High-value
